timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,
2026-04-17T15:52:21,2,zz_feature_map_full,1,adam,700,300,40,20,32,1108.9824181000004,0.5166666666666667,0.5154914529914529,0.03100775193798444,0.49645390070921985,0.4861111111111111,0.49122807017543857,85,71,74,70,
2026-04-17T15:53:20,2,zz_feature_map_full,2,cobyla,700,300,40,20,32,57.71068010000454,0.5366666666666666,0.5355235042735043,0.07110398289227471,0.5177304964539007,0.5069444444444444,0.512280701754386,88,68,71,73,
2026-04-17T16:14:52,2,zz_feature_map_full,2,adam,700,300,40,20,32,1291.3120305999983,0.4633333333333333,0.4634081196581197,-0.07304718741668892,0.44370860927152317,0.4652777777777778,0.4542372881355932,72,84,77,67,
2026-04-17T16:15:59,2,zz_feature_map_full,3,cobyla,700,300,40,20,32,66.18782140000258,0.5233333333333333,0.5197649572649572,0.039752887456352304,0.5040650406504065,0.4305555555555556,0.46441947565543074,95,61,82,62,
2026-04-17T16:40:32,2,zz_feature_map_full,3,adam,700,300,40,20,32,1471.989526700003,0.55,0.5405982905982907,0.08263114976895891,0.5569620253164557,0.3055555555555556,0.39461883408071746,121,35,100,44,
2026-04-17T16:42:45,4,pauli_x,1,cobyla,700,300,40,20,32,126.97870700000203,0.5033333333333333,0.5024038461538461,0.004808976756612293,0.4825174825174825,0.4791666666666667,0.4808362369337979,82,74,75,69,
2026-04-17T16:45:56,4,pauli_x,1,adam,700,300,40,20,32,189.57352669999818,0.42,0.4201388888888889,-0.15938166311300628,0.40131578947368424,0.4236111111111111,0.41216216216216217,65,91,83,61,
2026-04-17T16:48:25,4,pauli_x,2,cobyla,700,300,40,20,32,147.15042800000083,0.5866666666666667,0.5876068376068376,0.17465388711395102,0.5641025641025641,0.6111111111111112,0.5866666666666667,88,68,56,88,
2026-04-17T19:13:52,4,pauli_x,2,adam,700,300,40,20,32,8725.634903500002,0.5033333333333333,0.5018696581196581,0.0037443166622092017,0.48201438848920863,0.4652777777777778,0.4734982332155477,84,72,77,67,
2026-04-17T19:16:42,4,pauli_x,3,cobyla,700,300,40,20,32,167.5327182999972,0.5333333333333333,0.53125,0.06266738082485279,0.5149253731343284,0.4791666666666667,0.49640287769784175,91,65,75,69,
2026-04-17T22:01:39,4,pauli_x,3,adam,700,300,40,20,32,9894.710675100003,0.49333333333333335,0.49759615384615385,-0.004759386567953383,0.47802197802197804,0.6041666666666666,0.5337423312883436,61,95,57,87,
2026-04-17T22:03:53,4,pauli_y,1,cobyla,700,300,40,20,32,132.97415439999895,0.5466666666666666,0.5443376068376068,0.08896034297963562,0.5303030303030303,0.4861111111111111,0.5072463768115942,94,62,74,70,
2026-04-18T00:10:07,4,pauli_y,1,adam,700,300,40,20,32,7571.826068099996,0.55,0.547809829059829,0.0959014197696223,0.5338345864661654,0.4930555555555556,0.5126353790613718,94,62,73,71,
2026-04-18T00:12:36,4,pauli_y,2,cobyla,700,300,40,20,32,146.99883209999825,0.49,0.5013354700854701,0.0026075619295958807,0.4808510638297872,0.7847222222222222,0.5963060686015831,34,122,31,113,
2026-04-18T02:38:02,4,pauli_y,2,adam,700,300,40,20,32,8724.734116000007,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0,
2026-04-18T02:40:52,4,pauli_y,3,cobyla,700,300,40,20,32,167.3152728999994,0.56,0.5566239316239316,0.1138560687432868,0.5483870967741935,0.4722222222222222,0.5074626865671642,100,56,76,68,
2026-04-18T05:25:41,4,pauli_y,3,adam,700,300,40,20,32,9886.831257900005,0.6033333333333334,0.6017628205128205,0.20390687717420386,0.5912408759124088,0.5625,0.5765124555160143,100,56,63,81,
2026-04-18T05:27:40,4,z_feature_map,1,cobyla,700,300,40,20,32,117.4232628000027,0.58,0.579059829059829,0.15820416889363975,0.5633802816901409,0.5555555555555556,0.5594405594405595,94,62,64,80,
2026-04-18T07:24:59,4,z_feature_map,1,adam,700,300,40,20,32,7038.348143100011,0.52,0.5189636752136753,0.03794762159273124,0.5,0.4930555555555556,0.4965034965034965,85,71,73,71,
2026-04-18T07:27:09,4,z_feature_map,2,cobyla,700,300,40,20,32,127.67824019999534,0.59,0.5894764957264957,0.17890520694259016,0.5724137931034483,0.5763888888888888,0.5743944636678201,94,62,61,83,
2026-04-18T09:35:13,4,z_feature_map,2,adam,700,300,40,20,32,7682.568569199997,0.57,0.5710470085470085,0.14160234229438384,0.5477707006369427,0.5972222222222222,0.5714285714285714,85,71,58,86,
2026-04-18T09:37:33,4,z_feature_map,3,cobyla,700,300,40,20,32,138.3213098999986,0.49,0.4890491452991453,-0.021907560780122903,0.46853146853146854,0.4652777777777778,0.46689895470383275,80,76,77,67,
2026-04-18T11:55:53,4,z_feature_map,3,adam,700,300,40,20,32,8298.549834399993,0.5166666666666667,0.5202991452991453,0.040243579560497844,0.4971751412429379,0.6111111111111112,0.5482866043613707,67,89,56,88,
2026-04-18T11:58:04,4,zz_feature_map_linear,1,cobyla,700,300,40,20,32,129.11773579999863,0.49666666666666665,0.4967948717948718,-0.006398293788323128,0.4768211920529801,0.5,0.488135593220339,77,79,72,72,
2026-04-18T14:06:43,4,zz_feature_map_linear,1,adam,700,300,40,20,32,7716.87145939999,0.5266666666666666,0.5256410256410257,0.051309460181721,0.5070422535211268,0.5,0.5034965034965035,86,70,72,72,
2026-04-18T14:09:16,4,zz_feature_map_linear,2,cobyla,700,300,40,20,32,151.70118180000281,0.48,0.48103632478632474,-0.037786056412985713,0.4620253164556962,0.5069444444444444,0.48344370860927155,71,85,71,73,
2026-04-18T16:39:40,4,zz_feature_map_linear,2,adam,700,300,40,20,32,9021.871093499998,0.5433333333333333,0.5424679487179487,0.0849585893668181,0.5244755244755245,0.5208333333333334,0.5226480836236934,88,68,69,75,
2026-04-18T16:42:36,4,zz_feature_map_linear,3,cobyla,700,300,40,20,32,173.86721140000736,0.43666666666666665,0.437232905982906,-0.12516644474034622,0.41935483870967744,0.4513888888888889,0.43478260869565216,66,90,79,65,
2026-04-18T19:34:28,4,zz_feature_map_linear,3,adam,700,300,40,20,32,10310.138339600002,0.5333333333333333,0.5280448717948718,0.05660377358490565,0.5181818181818182,0.3958333333333333,0.44881889763779526,103,53,87,57,
2026-04-18T19:36:51,4,zz_feature_map_full,1,cobyla,700,300,40,20,32,141.02738079999108,0.49666666666666665,0.4981303418803419,-0.0037224142515288605,0.4782608695652174,0.5347222222222222,0.5049180327868853,72,84,67,77,
2026-04-18T21:56:49,4,zz_feature_map_full,1,adam,700,300,40,20,32,8396.525475700008,0.4533333333333333,0.45219017094017094,-0.09567076429716725,0.4295774647887324,0.4236111111111111,0.42657342657342656,75,81,83,61,
2026-04-18T21:59:46,4,zz_feature_map_full,2,cobyla,700,300,40,20,32,175.04063100001076,0.48333333333333334,0.4823717948717948,-0.035265829548490446,0.46153846153846156,0.4583333333333333,0.45993031358885017,79,77,78,66,
2026-04-19T00:52:56,4,zz_feature_map_full,2,adam,700,300,40,20,32,10387.728024699987,0.49,0.4879807692307692,-0.02409638554216853,0.4666666666666667,0.4375,0.45161290322580644,84,72,81,63,
2026-04-19T00:56:28,4,zz_feature_map_full,3,cobyla,700,300,40,20,32,209.59760310000274,0.54,0.5392628205128205,0.07852564102564097,0.5208333333333334,0.5208333333333334,0.5208333333333334,87,69,69,75,
2026-04-19T04:23:04,4,zz_feature_map_full,3,adam,700,300,40,20,32,12393.280070700013,0.4766666666666667,0.47783119658119655,-0.044160681032189286,0.4591194968553459,0.5069444444444444,0.48184818481848185,70,86,71,73,
